問題ID,問題文,選択肢,正解,解説,正答率,テーマ,画像URL
117D40,"13歳の男子。運動後の呼吸困難を主訴に救急車で搬入された。昨日、給食でうどんを食べた後、午後1限目の体育で持久走をしたところ、全身の蕁麻疹、気分不快、咳嗽、喘鳴および呼吸困難が出現したため救急搬送され治療を受けた。1週間前にも同様のエピソードがあったが食事制限は行われていなかった。白血球6,700（好酸球5％）。IgE 740IU/mL（基準170以下）。プリックテスト：コムギ抗原液のみ強陽性。この患者に対する指導として最も適切なのはどれか。","ａ: 「運動をしてはいけません」
ｂ: 「小麦の完全除去が必要です」
ｃ: 「抗ヒスタミン薬を登校前に服用してください」
ｄ: 「アドレナリン自己注射製剤を携帯しましょう」
ｅ: 「運動前にβ2刺激薬を吸入すれば問題ありません」",d,【プロセス】①給食でうどんを食べた後、持久走をしたところ、全身の蕁麻疹、気分不快、咳嗽、喘鳴および呼吸困難が出現②1週間前にも同様のエピソード③IgE上昇④プリックテストにてコムギ抗原液のみ強陽性☞①②はあまりにも特徴的な臨床像であり、診断は平易。食物依存性運動誘発性アナフィラキシー〈FDEIA〉である。③のI型アレルギー背景、④の小麦アレルギーも合致する。【選択肢考察】ａ　食直後の運動がNGとなるわけであり、一般的にすべての運動を禁止する必要はない。ｂ　小麦を摂取しても運動しなければよいわけで、完全除去までは必要ない。ｃ　抗ヒスタミン薬の予防内服が有効、というエビデンスはない。ｄ　正しい。FDEIAはアナフィラキシーショックにより、最悪死に至りかねない危険な病態である。外食時など小麦類が含まれていると知らずに摂取してしまうこともあるわけで、いつ発作が起こっても大丈夫なようにアドレナリン自己注射製剤の携帯が推奨される。ｅ　β2刺激薬の予防吸入が有効、というエビデンスはない。,95%,食物依存性運動誘発アナフィラキシー〈FDEIA〉患者に対する指導,
117D41,"28歳の女性。発熱を主訴に来院した。2週間前から咽頭痛と夕方になると39℃の発熱を認めるようになった。自宅近くの診療所で処方された抗菌薬を内服していたが、改善しないため紹介受診した。既往歴に特記すべきことはない。身長165cm、体重58kg。体温38.7℃。脈拍104/分、整。血圧98/68mmHg。眼瞼結膜と眼球結膜とに異常を認めない。頸部と腋窩とに軽度圧痛を伴う径1cmのリンパ節を複数触知する。心音と呼吸音とに異常を認めない。右肋骨弓下に肝を1cm触知する。四肢に多発する小紅斑を認める。小紅斑は、発熱時に出現し解熱後に消退するという。両側の手関節と膝関節に腫脹を認める。尿所見に異常を認めない。赤沈46mm/1時間。血液所見：赤血球465万、Hb 13.8g/dL、Ht 41％、白血球18,100（好中球86％、好酸球1％、好塩基球1％、リンパ球12％）、血小板28万。血液生化学所見：総蛋白6.7g/dL、アルブミン3.4g/dL、総ビリルビン0.6mg/dL、AST 162U/L、ALT 134U/L、LD 330U/L（基準120～245）、ALP 88U/L（基準38～113）、γ-GT 32U/L（基準8～50）、CK 86U/L（基準30～140）、尿素窒素14mg/dL、クレアチニン0.8mg/dL。免疫血清学所見：CRP 22mg/dL、抗核抗体陰性、リウマトイド因子〈RF〉陰性。次に確認すべき検査値はどれか。","ａ: 第XIII因子
ｂ: HLA-B51
ｃ: フェリチン
ｄ: ハプトグロビン
ｅ: 血清アミロイドA",c,"【プロセス】①2週間前から咽頭痛②夕方になると39℃の発熱③抗菌薬を内服していたが、改善しない④頸部と腋窩とに軽度圧痛を伴う径1cmのリンパ節を複数触知⑤右肋骨弓下に肝を1cm触知⑥四肢に多発する小紅斑（発熱時に出現し解熱後に消退）⑦両側の手関節と膝関節に腫脹⑧白血球18,100（好中球86％）⑨AST↑・ALT↑・ALP→・γ-GT→☞咽頭痛（①）、弛張熱ないし間欠熱（②）、リンパ節腫脹（④）、肝腫大（⑤）、サーモンピンク疹（⑥）、関節痛（⑦）、好中球優位な白血球上昇（⑧）と教科書通りの出題と言えよう。成人Still病である。本問を解く上ではあまり必要ないが、一応③より細菌感染が、⑨より胆道系疾患が除外されている。【選択肢考察】ａ　IgA血管炎を疑った際に確認する（第VIII因子ではなく第XIII因子なので、VとXの読み間違えに注意）。ｂ　Behçet病を疑った際に確認する。ｃ　正しい。成人Still病ではフェリチンの高度上昇がみられる。ｄ　溶血性疾患を疑った際に確認する。ｅ　血清アミロイドAから作られたアミロイドが全身臓器に沈着するとアミロイドーシスをきたす。が、血清アミロイドA蛋白の測定はアミロイドーシスの診断用というより、むしろ感染症や悪性腫瘍、自己免疫疾患で炎症の度合いをみるために行われる。簡単に言ってしまうと、CRPのような位置づけであり、何かしらの疾患の診断に特異的な項目ではない。",93%,成人Still病で確認すべき検査値,
117D42,62歳の男性。左内包脳梗塞に対する薬物療法で入院中である。現在、発症後5日目である。意識は清明。血圧128/76mmHg。ベッド上で背もたれ角度を90度としても血圧の低下を認めず、神経徴候に変化を認めない。徒手筋力テストで左上下肢は5、右上下肢では肘屈曲1、手指屈曲0、手指伸展0、股関節屈曲1、膝伸展0、足関節背屈0であった。右上下肢に軽度の感覚障害を認める。現時点で行うべきリハビリテーションはどれか。,"ａ: 座位訓練
ｂ: 右手での書字訓練
ｃ: 左上肢の他動可動域訓練
ｄ: 歩行器使用での歩行訓練
ｅ: 手すりを使用しての階段昇降訓練",a,【プロセス】①左内包脳梗塞に対する薬物療法で入院中（発症後5日目）②ベッド上で背もたれ角度を90度としても血圧の低下を認めず、神経徴候に変化を認めない③徒手筋力テスト〈MMT〉で左上下肢は5、右上下肢では肘屈曲1、手指屈曲0、手指伸展0、股関節屈曲1、膝伸展0、足関節背屈0☞①に対するリハビリテーションを②③の情報をもとに選択肢から絞り込む。【選択肢考察】ａ　正しい。②は「座位訓練の準備ができてますよ」というメッセージである。ｂ　MMTにて右手指屈曲0、手指伸展0のため、書字は望めない。ｃ　MMTにて左上下肢は5のため、他動可動域訓練は必要ない。ｄ　②の状況からいきなり歩行訓練は飛躍がある。まずは座位訓練からだ。ｅ　②の状況からいきなり階段昇降訓練は飛躍がある。まずは座位訓練からだ。,76%,脳梗塞に対して行うべきリハビリテーション,
117D43,"53歳の女性。労作時息切れを主訴に来院した。1か月前に自宅の階段を昇る際に息切れを自覚し、その後も症状が増悪するため受診した。眼瞼結膜は貧血様で、眼球結膜に黄染を認める。胸骨右縁第2肋間を最強点とするLevine 2/6の収縮期雑音を聴取する。腹部は平坦、軟で、肝・脾を触知しない。圧痛を認めない。血液所見：赤血球260万、Hb 7.8g/dL、Ht 27％、網赤血球4.2％、白血球5,400（桿状核好中球5％、分葉核好中球58％、好酸球2％、単球13％、リンパ球22％）、血小板38万。血液生化学所見：総蛋白7.4g/dL、アルブミン3.8g/dL、総ビリルビン5.5mg/dL、直接ビリルビン0.9mg/dL、AST 37U/L、ALT 29U/L、LD 740U/L（基準120～245）、ALP 66U/L（基準38～113）、尿素窒素18mg/dL、クレアチニン0.7mg/dL、尿酸4.5mg/dL、ハプトグロビン2mg/dL（基準19～170）。免疫血清学所見：CRP 0.6mg/dL、直接Coombs試験陽性。この患者に行う初期治療で正しいのはどれか。","ａ: 脾臓の摘出
ｂ: 造血幹細胞移植
ｃ: 抗C5抗体の投与
ｄ: 抗CD20抗体の投与
ｅ: 副腎皮質ステロイド薬の投与",e,【プロセス】①自宅の階段を昇る際に息切れを自覚②眼瞼結膜は貧血様③眼球結膜に黄染④胸骨右縁第2肋間を最強点とする収縮期雑音⑤赤血球260万、Hb 7.8g/dL、Ht 27％⑥網赤血球4.2％⑦総ビリルビン5.5mg/dL、直接ビリルビン0.9mg/dL（間接ビリルビン優位の上昇）⑧LD高値⑨ハプトグロビン低値⑩直接Coombs試験陽性☞②⑤より貧血を考える。①④は貧血の症候である。③⑦より黄疸を伴っていることが分かり、⑥〜⑨より溶血性疾患と判断する。⑩と合わせ、自己免疫性溶血性貧血〈AIHA〉の診断。【選択肢考察】ａ　脾摘が有効なこともあるが、初期治療ではない。ｂ　難治例のAIHAで行われることがあるが、初期治療ではない。むしろ造血幹細胞移植後に続発性AIHAが発生しやすいとの報告もある。ｃ　発作性夜間ヘモグロビン尿症〈PNH〉の治療である。ｄ　ステロイド無効のAIHAにて抗CD20抗体（リツキシマブ）が用いられることもあるが、初期治療ではない。ｅ　正しい。副腎皮質ステロイドはAIHAの第一選択薬である。,94%,自己免疫性溶血性貧血〈AIHA〉の初期治療,
117D44,"33歳の女性。2か月前からの頻尿を主訴に来院した。尿を長時間我慢できず、すぐトイレにいきたくなるようになり、トイレの回数が増えた。既往歴に特記すべきことはない。身長162cm、体重56kg。脈拍64/分、整。血圧132/90mmHg。下腹部に腫瘤を触知する。内診で子宮は正常大、両側付属器に異常を認めない。尿所見：蛋白（－）、糖（－）、潜血（－）。血液所見：赤血球480万、Hb 13.9g/dL、Ht 41％、白血球4,400、血小板24万。血液生化学所見：総蛋白6.8g/dL、アルブミン4.2g/dL、総ビリルビン0.5mg/dL、AST 14U/L、ALT 13U/L、LD 138U/L（基準120～245）、ALP 70U/L（基準38～113）、γ-GT 12U/L（基準8～50）、尿素窒素14mg/dL、クレアチニン0.6mg/dL、血糖88mg/dL、Na 140mEq/L、K 4.0mEq/L、Cl 106mEq/L。腹部超音波検査で膀胱頂部に腫瘍を認めた。膀胱鏡像（A）、腹部MRI T2強調矢状断像（B）及び水平断像（C）を別に示す。入院後、開腹腫瘍摘出術および膀胱部分切除術を施行したところ、病理診断の結果は腺癌であった。腫瘍の発生母地として正しいのはどれか。","ａ: 大網
ｂ: 小腸
ｃ: 尿管
ｄ: 尿膜管
ｅ: 腹直筋",d,【プロセス】①2か月前からの頻尿②下腹部に腫瘤を触知③腹部超音波検査で膀胱頂部に腫瘍④膀胱鏡像（A）にて突出する粘膜下腫瘍⑤腹部MRI T2強調像（B/C）にて腹直筋〜膀胱〜子宮に囲まれた部分の高信号を呈する腫瘍性病変⑥開腹腫瘍摘出術および膀胱部分切除術を施行したところ、病理診断の結果は腺癌☞②による圧迫にて①がみられている。診断はすでに⑥でついており、③〜⑤から尿膜管癌（膀胱頂部に形成される）と判断する。,84%,尿膜管癌の診断,"https://damrn710kg0uo.cloudfront.net/data/qpics/production/image/3987/117D-44A.jpg,https://damrn710kg0uo.cloudfront.net/data/qpics/production/image/3988/117D-44B.jpg,https://damrn710kg0uo.cloudfront.net/data/qpics/production/image/3989/117D-44C.jpg"
117D45,"45歳の男性。発熱と倦怠感を主訴に来院した。10日前にアフリカ中西部から日本に入国した。7日前から発熱、倦怠感および食欲不振が出現したため、滞在中のホテルに近い医療機関に入院した。補液、抗菌薬投与などが行われたが、発熱が持続し貧血が進行してきたため、緊急で転院となった。意識は清明。体温40.0℃。心拍数100/分、整。血圧92/60mmHg。呼吸数20/分。SpO2 98％（room air）。眼瞼結膜は貧血様で、眼球結膜に黄染を認める。心音と呼吸音とに異常を認めない。腹部は平坦、軟で、右肋骨弓下に肝を3cm触知する。血液所見：赤血球327万、Hb 8.9g/dL、Ht 24％、白血球9,300（桿状核好中球3％、分葉核好中球79％、単球4％、リンパ球14％）、血小板15万、PT-INR 1.16（基準0.9～1.1）。血液生化学所見：総蛋白5.5g/dL、アルブミン2.1g/dL、総ビリルビン1.9mg/dL、直接ビリルビン1.0mg/dL、AST 56U/L、ALT 38U/L、LD 653U/L（基準120～245）、ALP 70U/L（基準38～113）、γ-GT 46U/L（基準8～50）、尿素窒素18mg/dL、クレアチニン1.2mg/dL、血糖107mg/dL、Na 135mEq/L、K 3.6mEq/L、Cl 104mEq/L。CRP 21mg/dL。末梢血塗抹May-Giemsa染色標本を別に示す。この疾患について正しいのはどれか。2つ選べ。","ａ: 防蚊対策が予防に有効である。
ｂ: 原因微生物はウイルスである。
ｃ: 飛沫感染でヒト-ヒト感染する。
ｄ: 重症化すると多臓器不全を起こす。
ｅ: 過去10年間に日本国内で感染した例がある。","a,d",【プロセス】①10日前にアフリカ中西部から日本に入国②7日前から発熱、倦怠感および食欲不振③発熱が持続（体温40.0℃）し貧血が進行（Hb 8.9g/dL）④眼球結膜に黄染⑤右肋骨弓下に肝を3cm触知⑥総蛋白とアルブミンともに低値⑦末梢血塗抹May-Giemsa染色標本にて輪状体〈ring form〉☞輸入感染症（①）のうち、高熱（②③）と貧血（③）、黄疸（④）、肝腫大（⑤；教科書的には脾腫が有名だが肝腫大が優位なこともある）を呈するものを絞り込む。⑦からマラリア感染と分かる。マラリア原虫は赤血球に寄生するため、溶血をきたし③④がみられる。⑥は②による低栄養のためであろう。【選択肢考察】ａ　正しい。ハマダラカにより媒介されるため、防蚊対策が予防に有効。ｂ　原因微生物は原虫である。ｃ　蚊による媒介が原因となる。ヒト-ヒト感染はしない。ｄ　正しい。脳症や腎不全、播種性血管内凝固〈DIC〉といった多臓器にわたる合併症に注意が必要。ｅ　昔は日本土着のマラリアも多かったようだが、2000年代に入ってからは100％が輸入感染症である。,94%,マラリア症について,https://damrn710kg0uo.cloudfront.net/data/qpics/production/image/3990/117D-45.jpg
117D46,11か月の男児。パッケージから出したばかりのコイン型リチウム電池を飲み込んだため両親に連れられて来院した。体温36.2℃。心拍数120/分、整。血圧80/56mmHg。呼吸数32/分。SpO2 98％（room air）。機嫌はよく、顔色は良好である。努力呼吸を認めず、呼吸音に異常を認めない。来院時の胸部エックス線写真の背臥位正面像（A）と背臥位側面像（B）を別に示す。この患児に適切な対応はどれか。,"ａ: 翌日の受診を指示
ｂ: 気管支鏡下の摘出
ｃ: Heimlich法の実施
ｄ: 経鼻栄養チューブ挿入
ｅ: 磁石付きカテーテルによる摘出",e,【プロセス】①11か月の男児②パッケージから出したばかりのコイン型リチウム電池を飲み込んだ③機嫌はよく、顔色は良好・努力呼吸を認めず、呼吸音に異常を認めない④来院時の胸部エックス線写真の背臥位正面像（A）と背臥位側面像（B）にて電池と思しき像☞小児の誤嚥または誤飲（①②）。もし誤嚥（気道へ落ちる）であれば呼吸困難が出現するはずであるため、③からは誤飲（食道から消化管へ落ちる）が考えやすい。実際、④の（B）にて円形の陰影が後方に寄っているため、食道内で停滞していると判断できる。食道内で停滞した電池は早期に腐食性食道炎、さらには食道穿孔から重篤な病態に至りかねないため、すみやかな摘出が望ましい。【選択肢考察】ａ　翌日では遅い。緊急で対応すべきである。ｂ　気道ではなく、食道にあるため無効。ｃ　気道異物への対応。ｄ　栄養を投与する方法でありナンセンス。チューブ挿入により、むしろ食道に停滞した電池を押し込んでしまう恐れもある。ｅ　正しい。コイン型リチウム電池は磁石にくっつくため、この方法が最適である。,86%,コイン型リチウム電池誤飲への対応,"https://damrn710kg0uo.cloudfront.net/data/qpics/production/image/3991/117D-46A.jpg,https://damrn710kg0uo.cloudfront.net/data/qpics/production/image/3992/117D-46B.jpg"
117D47,52歳の男性。飲食物の飲み込みにくさと話しにくさを主訴に来院した。生来健康である。1週間前に台風による河川の氾濫で自宅に土石が流れ込み、サンダルを履いて片付け作業をしていたが、転倒して下腿に挫創を負った。意識は清明。体温37.1℃。脈拍124/分、整。血圧100/52mmHg。呼吸数24/分。うまく話すことができない。顔面の筋肉がこわばり開口障害を認める。下腿挫創部の周囲にわずかな発赤を認める。膿の付着は認めない。用いるべき治療薬はどれか。2つ選べ。,"ａ: アマンタジン塩酸塩
ｂ: アムホテリシンB
ｃ: アンジオテンシン変換酵素〈ACE〉阻害薬
ｄ: 抗破傷風ヒト免疫グロブリン
ｅ: メトロニダゾール","d,e",【プロセス】①河川の氾濫で自宅に土石が流れ込み、サンダルを履いて片付け作業をしていたが、転倒して下腿に挫創を負った②顔面の筋肉がこわばり開口障害（うまく話すことができない）③下腿挫創部の周囲にわずかな発赤☞外傷（①）により、③の部分から感染したと考えられる。②の症候からは破傷風が考えやすい。【選択肢考察】ａ　Parkinson病やインフルエンザに有効。ｂ　真菌感染に有効。ｃ　高血圧や誤嚥傾向に有効。ｄ　正しい。抗破傷風ヒト免疫グロブリンの投与により、血中の毒素を中和する。ｅ　正しい。破傷風の起炎菌（Clostridium tetani）にはメトロニダゾールが有効。,48%,破傷風の治療薬,
117D48,80歳の女性。左上下肢の脱力を主訴に救急車で搬入された。本日午前6時に起床したときから、左上下肢の脱力としゃべりにくさを自覚していたが、様子をみていた。夕方、左上下肢の麻痺が増悪したため救急車を要請した。高血圧症と糖尿病で治療中である。日常生活動作は自立しており、脳血管障害の既往や不整脈の指摘はない。意識は清明。心拍数82/分、整。血圧154/82mmHg。復唱は可能だが構音障害を認める。左顔面を含む左上下肢の不全片麻痺を認めた。来院時の頭部MRIの拡散強調像（A）、FLAIR像（B）及びMRA（C）を別に示す。直ちに行うべき治療で適切なのはどれか。2つ選べ。,"ａ: 抗血小板薬内服
ｂ: 機械的血栓回収療法
ｃ: グリセオール静注療法
ｄ: t-PA〈tissue plasminogen activator〉静注療法
ｅ: 直接経口抗凝固薬［direct oral anti coagulant〈DOAC〉］内服","a,c",【プロセス】①80歳の女性②起床したときから、左上下肢の脱力としゃべりにくさを自覚③夕方、左上下肢の麻痺が増悪④高血圧症と糖尿病で治療中⑤構音障害・左顔面を含む左上下肢の不全片麻痺⑥来院時の頭部MRI（A/B）にて高信号域⑦MRA（C）にて主幹動脈に閉塞なし☞背景疾患（④）のある高齢者（①）の突然発症した進行性麻痺（②③⑤）。⑥と合わせ、脳梗塞の診断。⑦は専門医でも読影に意見が分かれる微妙なライン。右中大脳動脈の枝に狭窄が疑われる箇所があるも、細い枝であり、少なくとも機械的血栓回収療法は不可能と判断できれば十分。【選択肢考察】ａ　正しい。抗血小板薬は脳梗塞に有効。ｂ　機械的血栓回収療法はカテーテルの到来が可能な主幹動脈の閉塞に適応となる。冒頭で述べたように本症例では行わない。ｃ　正しい。グリセオールは浸透圧利尿薬であり、脳梗塞急性期の脳浮腫対策に有効。ｄ　発症時刻がそもそも明らかでない＆確実に4.5時間以上が経過しているため、t-PAは適応外。ｅ　DOACは非弁膜症性心房細動の存在下で有効となる。本問では敢えて「不整脈の指摘はない」「心拍数82/分、整」と書いてあり、この選択肢を除外させたいものと思われる。,28%,脳梗塞に直ちに行うべき治療,"https://damrn710kg0uo.cloudfront.net/data/qpics/production/image/3993/117D-48A.jpg,https://damrn710kg0uo.cloudfront.net/data/qpics/production/image/3994/117D-48B.jpg,https://damrn710kg0uo.cloudfront.net/data/qpics/production/image/3995/117D-48C.jpg"
117D49,"生後1時間の男児。在胎38週、体重4,100g、帝王切開で出生した。Apgarスコアは8点（1分）、9点（5分）。母親は33歳、初産で妊娠糖尿病と診断されていたが、定期的な妊婦健康診査を受診していなかった。体温37.2℃。心拍数140/分、整。血圧72/48mmHg。呼吸数50/分。SpO2 98％（room air）。心音と呼吸音とに異常を認めない。腹部は軽度の膨隆を認める。肝臓を右肋骨弓下に1cm触知するが、脾臓は触知しない。皮膚は赤く、末梢性チアノーゼを認める。直ちに行うべき検査はどれか。","ａ: 血糖測定
ｂ: 心エコー検査
ｃ: 頭部超音波検査
ｄ: ビリルビン測定
ｅ: 胸部エックス線検査",a,"【プロセス】①生後1時間の男児②体重4,100g、帝王切開で出生③Apgarスコア問題なし④母親は妊娠糖尿病と診断されていた⑤腹部は軽度の膨隆・肝臓を右肋骨弓下に1cm触知・皮膚は赤く、末梢性チアノーゼを認める☞⑤は①のタイミングとしては生理的な範囲内であり、③と合わせ、現状特に大きな問題はないかのように思える。が、④より巨大児（②）となっている（おそらく大きいため経腟分娩が困難だったのであろう）。妊娠糖尿病の母体から出生した児で確認しておきたい指標はなかったか、思い出そう。【選択肢考察】ａ　正しい。妊娠糖尿病の母体から生まれた児は低血糖をきたしやすいため、血糖測定で確認する。ｂ　SpO2は正常であり、心音と呼吸音とに異常を認めていない。そのため、心疾患は否定的である。ｃ　新生児仮死を認めておらず、けいれん等の頭蓋内病変を示唆する所見もない。ｄ　黄疸は認めておらず、測定する必要性に乏しい。ｅ　SpO2は正常であり、心音と呼吸音とに異常を認めていない。そのため、胸部エックス線検査で判明する異常が存在するとは考えにくい。",88%,新生児低血糖を疑う児に直ちに行うべき検査,
117D50,"60歳の女性。右上腹部痛を主訴に来院した。以前から空腹時に右上腹部痛や右背部痛を自覚することがあったが、特に加療せず軽快していた。2日前から右上腹部痛を自覚し、徐々に増悪するため受診した。既往歴に特記すべきことはない。内服薬はない。喫煙歴はない。飲酒はビール350mL/日を40年間。家族歴に特記すべきことはない。身長155cm、体重52kg。体温36.1℃。脈拍80/分、整。血圧132/80mmHg。眼瞼結膜と眼球結膜とに異常を認めない。腹部は平坦で、右上腹部に圧痛を認め、筋性防御と反跳痛とを認めない。肝・脾を触知しない。腸雑音に異常を認めない。血液所見：赤血球452万、Hb 12.9g/dL、Ht 40％、白血球8,300、血小板18万。血液生化学所見：総蛋白7.6g/dL、アルブミン3.9g/dL、総ビリルビン0.9mg/dL、AST 24U/L、ALT 14U/L、LD 188U/L（基準120～245）、ALP 86U/L（基準38～113）、γ-GT 38U/L（基準8～50）、アミラーゼ95U/L（基準37～160）、尿素窒素12mg/dL、クレアチニン0.6mg/dL、血糖92mg/dL。CRP 0.1mg/dL。上部消化管内視鏡検査の十二指腸球部像を別に示す。次に行う検査はどれか。","ａ: 腹部MRI
ｂ: FDG-PET
ｃ: 尿素呼気試験
ｄ: 超音波内視鏡検査
ｅ: 血中ガストリン測定",c,【プロセス】①空腹時に右上腹部痛や右背部痛②上部消化管内視鏡検査の十二指腸球部像にて潰瘍の存在☞①②より十二指腸潰瘍の診断。胃潰瘍は食後に、十二指腸潰瘍は空腹時に増悪しやすいという原則を確認。【選択肢考察】ａ　広がりや転移を考慮せねばならない悪性腫瘍とは異なり、消化性潰瘍に対して腹部MRIは必要ない。ｂ　広がりや転移を考慮せねばならない悪性腫瘍とは異なり、消化性潰瘍に対してFDG-PETは必要ない。ｃ　正しい。ピロリ菌の検査である。ピロリ菌は十二指腸潰瘍の原因となるため、もし陽性であれば除菌治療へと進む。ｄ　壁深達度を確認すべき腫瘍性病変とは異なり、消化性潰瘍に対して超音波内視鏡検査は必要ない。ｅ　ガストリノーマに有効。確かにガストリノーマでは消化性潰瘍をみるが、消化性潰瘍があったからといって全例がガストリノーマなわけではない。ガストリノーマであれば特徴的な電解質異常（Ca↑・K↓・Cl↓）や水様性脂肪性下痢がみられる、など他の症候についての記載がほしいところだ。,64%,十二指腸潰瘍に行う検査,https://damrn710kg0uo.cloudfront.net/data/qpics/production/image/3996/117D-50.jpg
117D51,8歳の男児。38.8℃の発熱を主訴に母親に連れられて来院した。2歳ごろから時々高熱をきたし、自宅近くの医療機関で経口抗菌薬による保存的治療を受けていた。尿所見：蛋白1＋、糖（－）、ケトン体（－）、潜血1＋、沈渣に赤血球1～4/HPF、白血球50～99/HPFを認める。尿路感染と診断し、入院のうえ、セフェム系抗菌薬の点滴治療を行った。解熱後に行った排尿時膀胱尿道造影像を別に示す。この患児について正しいのはどれか。2つ選べ。,"ａ: 染色体検査を行う。
ｂ: 両側に腎瘻を造設する。
ｃ: 両側に尿管カテーテルを留置する。
ｄ: 腎盂腎炎の予防に抗菌薬を投与する。
ｅ: 99mTc-DMSA腎シンチグラフィを行う。","d,e",【プロセス】①8歳の男児②38.8℃の発熱③2歳ごろから時々高熱④尿路感染と診断（尿沈渣に白血球50～99/HPF）⑤解熱後に行った排尿時膀胱尿道造影像にて膀胱から両側尿管への逆流あり☞小児（①）の反復する発熱（②③）。尿路感染とすでに診断されており（④）、抗菌薬治療もなされている。原因の検索フェーズにおいて、⑤から膀胱尿管逆流〈VUR〉の存在が分かる。【選択肢考察】ａ　VURには遺伝的側面が指摘されているが、染色体異常ではない。ｂ　尿路の閉塞はないため、腎瘻は必要ない。ｃ　尿路の閉塞はないため、尿管カテーテルは必要ない。ｄ　正しい。再発性の尿路感染をきたしており、抗菌薬の予防投与が有効。ｅ　正しい。99mTc-DMSA腎シンチグラフィにて残腎障害の評価を行う。,38%,膀胱尿管逆流〈VUR〉について,https://damrn710kg0uo.cloudfront.net/data/qpics/production/image/3997/117D-51.jpg
117D52,"A 35-year-old man complained of a sudden onset of severe headache.  For the past two weeks, he woke up around 3:00 a.m. due to soreness behind the left eye.  His pain continued for about an hour.  Today, he visited the emergency department at 5:30 a.m.His consciousness was clear, but he appeared restless.  His body temperature was 36.4℃.  Pulse rate was 84/min.  Blood pressure was 136/80mmHg.  Conjunctival hyperemia and tearing of the left eye were observed.   There were no meningeal signs.  MRI and MRA of the head showed no abnormalities.What is the most likely diagnosis?","ａ: migraine
ｂ: meningitis
ｃ: brain tumor
ｄ: cluster headache
ｅ: subarachnoid hemorrhage",d,【プロセス】全文訳すると「35歳の男性。突然発症した激しい頭痛を主訴に来院した。ここ2週間、左眼の奥に痛みを自覚し、毎朝3時ころの起床を余儀なくされている。疼痛は1時間程度持続する。本日、午前5時30分に救急外来を受診した。意識は清明だが、落ち着きがない。体温36.4℃。脈拍84/分。血圧136/80mmHg。左眼結膜の充血と流涙を認める。髄膜刺激症状はない。頭部MRIとMRAにて異常を認めない。最も考えられる診断はどれか。」となる。【選択肢考察】ａ　migraineは片頭痛。2週間も継続する片頭痛は考えにくい。ｂ　meningitisは髄膜炎。髄膜刺激症状がないため、否定的。ｃ　brain tumorは脳腫瘍。MRIにて異常を認めていないため、否定的。ｄ　正しい。cluster headacheは群発頭痛。「長期にわたり、朝方に1時間程度持続する眼の奥の痛み」ときたらこの疾患を思い浮かべたい。ｅ　subarachnoid hemorrhageはくも膜下出血〈SAH〉。2週間も断続的に症状が出続けるSAHは考えにくい。また、MRIやMRAでも異常が同定されるはずだ。,95%,群発頭痛〈cluster headache〉の診断（英語問題）,
